id,nome,email,senha,tipo,bairro,telefone,areas_atuacao,data_cadastro,ultimo_login,status,endereco,foto_perfil
1,Maria das Graças,morador@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Centro,(35) 98765-4321,,2025-01-01 00:00:00,2025-07-05 12:00:43,ativo,Rua das Flores 123,uploads/fotos_perfil/user_1_foto_perfil.png
2,Benedito Luiz,catador@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Pinheirinho,(35) 91234-5679,"Centro,Pinheirinho,Varginha",2025-01-01 00:00:00,2025-07-05 12:00:11,ativo,Rua José Augusto dos Santos 50,uploads/fotos_perfil/user_2_foto_perfil.png
3,Administrador,admin@prefeitura.itajuba.gov.br,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,admin,Centro,(35) 3629-1234,"Centro, Varginha, Morro Chic",2025-01-01 00:00:00,2025-07-05 12:04:07,ativo,Rua Centro 123,
4,Maria Silva,maria@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Varginha,(35) 98888-7777,,2025-01-15 10:30:00,2025-07-01 10:23:15,ativo,Av. Principal 456,
5,João Oliveira,joao@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Morro Chic,(35) 97777-6666,,2025-01-20 14:15:00,2025-07-01 08:45:30,ativo,Rua Secundária 789,
6,Carlos Ferreira,carlos@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,BPS,(35) 96666-5555,"BPS,Centro,Medicina",2025-01-10 09:45:00,2025-07-05 11:45:45,ativo,Av. BPS 180,uploads/fotos_perfil/user_6_foto_perfil.png
7,Ana Santos,ana@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Varginha,(35) 95555-4444,"Varginha,MorroChic,Rebourgeon",2025-01-25 11:20:00,2025-07-05 11:44:59,ativo,Rua das Laranjeiras 73,uploads/fotos_perfil/user_7_foto_perfil.png
8,Daniel Jose Machado,danielmaguerra@hotmail.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Varginha,35991467856,,2025-07-01 17:05:44,2025-07-01 17:07:05,ativo,Rua José Francisco Pereira 268,
9,José da Silva,josesilva@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Varginha,(35) 91234-5678,"Varginha, Boa Vista",2025-06-24 09:00:00,2025-07-01 09:12:40,ativo,Rua das Flores 123,
10,Maria Souza,mariasouza@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Morro Chic,(35) 92345-6789,"Morro Chic, Centro",2025-06-24 09:05:00,2025-07-01 14:22:10,ativo,Av. BPS 300,
11,Antônio Pereira,antoniopereira@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Boa Vista,(35) 93456-7890,"Boa Vista, Medicina",2025-06-24 09:10:00,2025-06-30 16:45:33,ativo,Rua Aurora 234,
12,Rosana Lima,rosanalima@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Pinheirinho,(35) 94567-8901,"Pinheirinho, Varginha",2025-06-24 09:15:00,2025-06-29 10:18:22,ativo,Rua Silvério Siqueira 99,
13,João Batista,joaobatista@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Medicina,(35) 95678-9012,"Medicina, Centro, Pinheirinho",2025-06-24 09:20:00,2025-06-28 11:35:45,ativo,Rua Francisca Nogueira 421,
14,Flávia Cunha,flaviacunha@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Santo Antônio,(35) 96789-0123,"Santo Antônio, Avenida",2025-06-24 09:25:00,2025-06-30 13:40:15,ativo,Rua Nova 100,
15,Carlos Henrique Lopes,carloshlopes@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,São Vicente,(35) 97890-1234,"São Vicente, BPS",2025-06-24 09:30:00,2025-06-29 08:25:40,ativo,Rua do Comércio 150,
16,Bianca Martins,biancamartins@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Boa Vista,(35) 98901-2345,"Boa Vista, Rebourgeon",2025-06-24 09:35:00,2025-06-30 15:10:05,ativo,Av. Cel. Carneiro Junior 321,
17,Gilmar Rodrigues,gilmarrodrigues@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Rebourgeon,(35) 90012-3456,"Rebourgeon, São Vicente",2025-06-24 09:40:00,2025-07-01 20:30:08,ativo,Rua Capitão Gomes 208,
18,Edna Lopes,ednalopes@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,catador,Nossa Senhora de Fátima,(35) 91123-4567,"Nossa Senhora de Fátima, Centro",2025-06-24 09:45:00,2025-06-29 14:15:18,ativo,Rua Olga Carnevalli 85,
19,Felipe Ramos,feliperamos@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Varginha,(35) 91234-1111,,2025-06-24 10:00:00,2025-07-01 09:30:22,ativo,Av. João Antonio Pereira 444,
20,Camila Oliveira,camilaoliveira@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,São Judas,(35) 92345-2222,,2025-06-24 10:05:00,2025-06-30 10:45:55,ativo,Rua Quirino dos Santos 56,
21,Gustavo Cardoso,gustavocardoso@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,São Vicente,(35) 93456-3333,,2025-06-24 10:10:00,2025-06-29 16:50:30,ativo,Rua do Comércio 200,
22,Patrícia Dias,patriciadias@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Morro Chic,(35) 93456-4444,,2025-06-24 10:10:00,2025-06-28 13:25:40,ativo,Av. dos Ferroviários 299,
23,Daniel Costa,danielcosta@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Pinheirinho,(35) 94567-5555,,2025-06-24 10:15:00,2025-06-30 08:40:15,ativo,Rua José Augusto dos Santos 50,
24,Larissa Pinto,larissapinto@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Boa Vista,(35) 95678-6666,,2025-06-24 10:20:00,2025-06-29 11:55:25,ativo,Rua Luiz Giarola 18,
25,Rafael Barbosa,rafaelbarbosa@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Rebourgeon,(35) 96789-7777,,2025-06-24 10:25:00,2025-06-28 10:30:45,ativo,Rua Nova 234,
26,Adriana Fernandes,adrianafernandes@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Santo Antônio,(35) 97890-8888,,2025-06-24 10:30:00,2025-06-30 14:05:50,ativo,Av. Santo Antônio 111,
27,Beatriz Faria,beatrizfaria@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Medicina,(35) 98901-9999,,2025-06-24 10:35:00,2025-06-29 09:15:30,ativo,Rua Dr. Xavier Lisboa 55,
28,Vinícius Azevedo,viniciusazevedo@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,São Vicente,(35) 90012-0000,,2025-06-24 10:40:00,2025-06-28 15:35:20,ativo,Rua Rio de Janeiro 72,
29,Helena Moreira,helenamoreira@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Varginha,(35) 90123-1111,,2025-06-24 10:45:00,2025-06-30 12:20:10,ativo,Rua das Laranjeiras 73,
30,Luiz Fernando,luizfernando@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,São Judas,(35) 91234-2222,,2025-06-24 10:50:00,2025-06-29 16:10:35,ativo,Av. Dr. João Batista Alves 200,
31,Monique Rocha,moniquerocha@teste.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,morador,Avenida,(35) 92345-3333,,2025-06-24 10:55:00,2025-06-28 13:45:25,ativo,Rua Benedito Cruz 16,
